,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13,Xc2.lambda14
1702,ANI69824@N,39.98118885851922,20.67992527164787,35.38564990926413,30.330557065083543,19.301263586871347,32.16877264478558,21.139479166573377,42.278958333146754,9.191077898510164,34.00698822448761,55.14646739106099,23.896802536126426,9.650631793435673,32.62832653971108,28.95189538030702,62.03977581494361,41.81940443822125,4.595538949255082,34.926096014338626,43.65762001792328,0.03966314354323865,0.04052344504906158,0.03638023383518566,0.03783319180147393,0.039054221952117496,0.038482077999643614,0.03726302352101515,0.03710295047885452,0.03912154465499733,0.03977403228294281,0.038934800086272425,0.03837375748050991,0.039418997082432246,0.03852068530674644
1703,AML40902@N,36.20697551215614,20.485525618719922,40.971051237439845,23.820378626418513,16.19785746596459,30.96649221434407,18.57989532860644,29.060861924230586,8.575336305510664,36.68338308468451,58.12172384846117,14.768634748379478,9.051743878039035,23.820378626418513,19.53271047366318,44.7823118176668,56.216093558347694,3.334853007698592,23.343971053890144,38.11260580226962,0.03912282712901994,0.03774946975268505,0.03664779756567229,0.036643697594712206,0.03804559403356189,0.03814436243456447,0.035825260272925596,0.03729515965243612,0.038209609087409634,0.03673508225918556,0.03791163345730725,0.037601366369921604,0.038759301044733616,0.03490126681749447
1704,QCQ19906@N,40.784499172778986,19.220281219355613,38.440562438711225,29.533602849253747,20.626643259796268,29.064815502440197,24.37694203430468,45.94115998772805,11.250896323525238,35.159051011016366,61.8799297793888,19.689068566169166,5.625448161762619,38.90934978552478,24.845729381118232,61.8799297793888,49.222671415422916,5.156660814949067,29.533602849253747,58.598418351693944,0.03868085915077337,0.03876207118041809,0.03784755440499749,0.038834076686561914,0.03701033148057101,0.037914379727927335,0.03674668698521652,0.03787608724578359,0.03857099266455283,0.03799712197287157,0.03783430683827099,0.0374128392199597,0.037671518174633066,0.03805382745391102
1705,QCQ19870@N,42.76502083186045,18.797811354663935,39.005458560927664,31.01638873519549,20.20764720626373,29.136607599729096,23.027318909463318,46.52458310279324,11.27868681279836,36.18578685772807,60.62294161879119,19.267756638530532,4.699452838665984,39.005458560927664,25.37704532879631,61.09288690265778,50.75409065759262,5.169398122532582,29.606552883595693,57.80326991559159,0.03871813458090109,0.03847772761968311,0.03760512277252847,0.038775127097647896,0.03710540430714366,0.037753773119725824,0.036596848191107346,0.037921233632923795,0.03848005141041771,0.037638852468306574,0.03789970206906192,0.03727962588204954,0.03793536625798573,0.037867746723919155
1706,AKJ22139@N,41.26171885482906,19.69309308980478,38.44841984199981,29.539639634707168,20.63085942741453,28.601873297097416,24.381924777853534,45.01278420526806,11.253196051317016,36.104003997975425,61.42369511343871,19.224209920999904,5.157714856853633,38.44841984199981,24.85080794665841,63.299227788658214,49.23273272451195,5.157714856853633,29.070756465902292,59.079279269414336,0.03866254076719279,0.038708047100978936,0.03774403305599369,0.03889185290834506,0.037156168429395536,0.03775867843453295,0.03681077532908945,0.03786349612612679,0.03864585300853645,0.03776012330856707,0.037809362798800816,0.03742298243531581,0.03782011711014005,0.03806280038210877
1707,AYR18505@N,44.41189035552941,21.972198386419812,46.28186468628854,27.582121378697213,21.03721122104025,33.192044370974614,20.10222405566068,43.944396772839625,10.752352401865014,30.854576457525695,57.03421708815356,21.50470480373003,8.882378071105881,32.257057205595046,27.11462779600743,44.87938393821919,56.09922992277399,6.5449101576569655,26.647134213317646,60.30667216698204,0.039082479761822116,0.03866985351021721,0.037509867405488916,0.03868042232369001,0.03827204446473999,0.03792880337133117,0.038260453621143206,0.03691475062548507,0.03868955074703377,0.0384938958902506,0.03771190068855649,0.038436427630946235,0.037686529858936335,0.036169437410575794
1708,AYR18455@N,36.24194531163193,15.73663414847176,45.30243163953991,27.65832668519279,19.55157576022249,29.565797491068153,20.505311163160172,46.73303474394644,13.352295641127554,33.380739102818886,62.4696688924182,20.505311163160172,9.060486327907983,35.76507761016309,29.565797491068153,58.177859579198625,52.93231486304137,7.6298832235014595,28.13519438666163,60.08533038507399,0.03884295708219143,0.03763526788441939,0.03691066822648403,0.03678529192804529,0.03691275589282696,0.03726181575126934,0.03697618559862072,0.03830887743303157,0.037888647089399735,0.03708783974211377,0.036791248597491534,0.03748568902699056,0.036726496333446816,0.03751855794482759
1709,AYR18493@N,41.86606572797381,23.724103912518494,46.98302931694839,27.910710485315875,20.933032863986906,34.42320959855624,20.933032863986906,41.86606572797381,7.442856129417566,30.70178153384746,58.147313511074735,19.53749733972111,8.83839165368336,33.49285258237905,25.584817944872885,47.44820782503699,56.751777986808946,6.512499113240371,26.51517496105008,58.147313511074735,0.03917351352136655,0.03860973122179816,0.037790948053966496,0.03874954446084985,0.03830683027149021,0.03786372335509901,0.03830226458656227,0.037282256270079035,0.03849725626797085,0.038699465265559126,0.0381246162435631,0.038442332361653904,0.03803227767349953,0.036946732357944136
1710,AYR18461@N,40.412911168197326,13.47097038939911,46.18618419222552,27.4230468641339,19.72534949876298,30.79078946148368,19.72534949876298,49.07282070423961,11.065439962720697,34.15853205883346,63.50600326431009,21.16866775477003,9.141015621377967,34.15853205883346,30.309683376147998,58.21383632561758,51.47835113091803,7.69769736537092,29.34747120547663,59.17604849628894,0.03833056796437189,0.03747310527388573,0.03643296084221501,0.03668714015738692,0.03699081240604682,0.037121260445447606,0.036661601066652894,0.03791153442735012,0.03770256599861765,0.03658574170315375,0.03676183610769368,0.03729491841956517,0.03636274473234541,0.036577125119585045
1711,AYR18436@N,44.53954035168434,21.566514275552418,46.88372668598351,27.192561477870438,21.097677008692582,33.2874459470483,20.16000247497291,44.0707030848245,10.783257137776209,31.412096879608953,57.198146556899886,21.566514275552418,8.439070803477032,32.349771413328625,27.661398744730274,45.00837761854417,56.72930929004005,6.563721736037692,26.7237242110106,60.011170158058896,0.03896195538638712,0.03849650169575025,0.037319573430500595,0.03856543741184722,0.038300961686636194,0.03771496700963887,0.0380049512399102,0.03694902822302647,0.038664714592657724,0.03837407066259501,0.037653069245824275,0.03827346011997962,0.0375634510953887,0.03632059134002263
