,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13,Xc2.lambda14,Xc2.lambda15,Xc2.lambda16,Xc2.lambda17,Xc2.lambda18,Xc2.lambda19,Xc2.lambda20
27,APT69876@H,28.982220675461697,14.109765328843194,34.32105079988885,16.779180391056773,14.872455346618501,17.54187040883208,14.872455346618501,28.600875666574044,6.101520142202462,28.982220675461697,38.13450088876539,15.253800355506156,5.3388301244271545,22.49935552437158,14.491110337730849,40.80391595097897,35.08374081766416,4.194795097764193,20.973975488820965,44.617366039855504,0.032321243628722476,0.03259783439182965,0.029346611404523368,0.031119413967116157,0.030951306706006605,0.03177648343727575,0.030079224343660636,0.030544825009423706,0.030507783978082306,0.030606394684895698,0.031060537654203108,0.030474852180037905,0.03077904882746446,0.030394817451368347,0.030791864007729895,0.030213484335186443,0.0314501117397314,0.03130920272757832,0.030823670273445864,0.03150628036406399
28,APT69862@H,28.36716325099928,13.416901537634795,34.500603953918045,16.866961933026598,14.950261713364485,18.016982064823868,14.566921669432062,29.133843338864125,6.516780746851186,28.750503294931704,38.717344437174695,16.483621889094177,5.366760615053918,22.233722548080518,14.566921669432062,42.1674048325665,35.26728404178289,4.2167404832566495,19.93368228448598,44.85078514009346,0.03217432106744477,0.032333221613073226,0.029286724809968794,0.031089313688708306,0.03086416534477825,0.03166223841519858,0.029932896643552625,0.030709085719753223,0.030439160712134993,0.030472221946464265,0.03089395082220908,0.030568898672620064,0.030664550903499264,0.030230024084616215,0.03067844499446001,0.03005909745557373,0.031282331495417925,0.03106631825449062,0.03064529100111778,0.03160769842249568
29,APU51916@H,31.209797321723098,13.912801215707887,43.24249026503803,25.193450850065634,20.681190996322535,19.55312603288676,16.544952797058027,32.33786228515887,6.3923681261360565,28.201624085894366,47.37872846430253,21.80925595975831,7.8964547440504225,27.449580776937182,21.80925595975831,40.610338683687885,34.970013866509014,5.264303162700282,29.329689049330142,36.85012213890197,0.0316673327194193,0.03171951746253019,0.03128850538381826,0.03193879816071084,0.030680612088921328,0.030535303059824263,0.031084394284405004,0.030754342939646056,0.03169555144550598,0.03023759634336544,0.03103979480386925,0.03160028455993298,0.03150084089817211,0.030003367816044624,0.030895169959729334,0.03143373009465234,0.031443707169716485,0.031442686869960705,0.03204509509711811,0.030971714364065955
30,APU51926@H,31.209797321723098,13.912801215707887,43.24249026503803,25.193450850065634,20.681190996322535,19.55312603288676,16.544952797058027,32.33786228515887,6.3923681261360565,28.201624085894366,47.37872846430253,21.80925595975831,7.8964547440504225,27.449580776937182,21.80925595975831,40.610338683687885,34.970013866509014,5.264303162700282,29.329689049330142,36.85012213890197,0.0316673327194193,0.03171951746253019,0.03128850538381826,0.03193879816071084,0.030680612088921328,0.030535303059824263,0.031084394284405004,0.030754342939646056,0.03169555144550598,0.03023759634336544,0.03103979480386925,0.03160028455993298,0.03150084089817211,0.030003367816044624,0.030895169959729334,0.03143373009465234,0.031443707169716485,0.031442686869960705,0.03204509509711811,0.030971714364065955
31,APU51936@H,31.18542459945825,13.901936267228377,43.208720830574684,25.173776483900035,20.66504039723137,19.537856375564203,16.532032317785095,32.31260862112541,6.387376122780606,28.179600541679143,47.341728910020954,21.792224418898535,7.89028815167016,27.803872534456755,21.792224418898535,40.202896772795576,34.94270467168214,5.260192101113439,29.30678456334631,36.821344707794076,0.031658444101258426,0.0317733058827506,0.03131062219791868,0.03197221494138931,0.030660750113270876,0.03060291005028282,0.031144286420898424,0.030806697482396443,0.03165676428935622,0.030258867532199,0.0310278530032636,0.031671430792224106,0.031454569665937196,0.030048979892639927,0.03085402964351865,0.03143212424957947,0.03148613100708758,0.0313654178305501,0.03209130741218599,0.030995286268904094
32,ARB07433@H,31.170543914383998,13.895302708821783,42.81255429204549,25.161764364623227,20.65517970230265,19.528533536722506,16.52414376184212,32.297190079964146,6.759876993480868,28.541702861363664,46.943590232506025,22.157374589742844,7.886523159061012,27.790605417643565,21.781825867882795,40.18371323902516,35.30157985484453,5.257682106040675,28.91725158322371,36.428226020424674,0.031630202115431064,0.03178907191310716,0.03154480268927554,0.031930499811491875,0.030755120682624437,0.030573015043272485,0.03089411610398709,0.030660342629734494,0.03166041179623052,0.030388875655832138,0.031079151749402036,0.031494188270404996,0.031448626136474166,0.030194711602319707,0.030999600932147233,0.03126249956066783,0.03137302886832732,0.03163240982205124,0.03213023531919491,0.031010367437975705
33,ARB07425@H,28.05078182813641,15.162584771965626,34.4948803562218,17.43697248776047,14.783520152666487,17.05790786846133,14.404455533367345,28.80891106673469,5.306904670187969,27.67171720883727,38.66459116851235,14.783520152666487,5.68596928948711,22.3648125386493,14.025390914068206,41.31804350360633,34.4948803562218,4.169710812290547,20.090424822854455,44.7296250772986,0.03243385816301257,0.03233327016939302,0.029844592735808667,0.0315035171913106,0.03102917909157271,0.03207593643922915,0.030075958807969184,0.030645448512248662,0.03066945514949083,0.03075384721247148,0.0314388252354314,0.030526152100854038,0.030943752768447547,0.030251953773866913,0.03068677601825209,0.030581301650401183,0.031209709360389064,0.03149750064501464,0.03109928603561932,0.0313350596400762
34,ARE29973@H,29.204038269420042,16.13907378046897,44.1903210655698,21.518765040625293,17.291864764788183,22.28729236350477,11.527909843192122,31.893883899498203,7.685273228794748,30.356829253739253,50.722803310045336,16.13907378046897,4.6111639372768485,29.204038269420042,18.06039208766766,49.185748664286386,40.731948112612166,4.995427598716586,26.898456300781618,48.417221341406915,0.0322713713774872,0.0313323895411045,0.029464500016874593,0.03088422261279238,0.030844610658725485,0.03140936381819505,0.030573208928278976,0.030181922723690163,0.03150829057583429,0.030507155797780912,0.030264255288739928,0.03141811669582515,0.030704982949638908,0.029536187117540403,0.031386271969703186,0.03037602166046026,0.030130177499847397,0.030888645279934065,0.03105407853415219,0.031000565513657534
35,ARB07608@H,22.700743631788004,13.620446179072802,43.509758627593676,25.349163722163272,21.187360723002136,14.755483360662202,14.755483360662202,27.619238085342072,10.215334634304602,30.26765817571734,50.31998171713008,22.700743631788004,4.918494453554067,34.05111544768201,19.295632087019804,58.64358771545234,32.53773253889614,5.675185907947001,27.619238085342072,33.29442399328907,0.030866221694846815,0.03191673829341152,0.031935119040059634,0.031945811932983105,0.030632985049033612,0.030855026501402323,0.03053445400850538,0.030443505307256428,0.030984712528023036,0.030150133641835504,0.03160692811656839,0.030980622871461506,0.03226300293146043,0.030090748813276877,0.03054476788540066,0.03138359058957005,0.031121646239165426,0.030180740825914255,0.031607659713020084,0.03160985682033815
36,ARA15421@H,31.19960080617019,13.90825578106382,43.22836256276592,25.18521992787232,20.67443426914892,19.54673785446807,16.539547415319138,32.32729722085104,6.390279683191484,28.192410367021257,47.73914822148933,21.80213068382977,7.893874902765952,27.44061275723402,21.426231878936154,40.59707092851061,34.958588855106356,5.262583268510634,29.320106781702105,36.83808287957444,0.03169444448370479,0.03169313504646843,0.03130938194429943,0.031927569614468645,0.030716219468964485,0.030529388956823174,0.03109564349494188,0.030741324921124618,0.03165258509373747,0.030251692802134463,0.031040942245114757,0.03157042405835377,0.031548617185190156,0.03001102096193094,0.030934428921843633,0.03139748287191967,0.03149167533054941,0.0314359091248684,0.03204144397264447,0.031017864607300816
