,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13
10,AOG74783@H,36.43552562290797,18.460666315606705,43.72263074748956,22.34712238205022,18.946473323912144,22.34712238205022,18.460666315606705,36.43552562290797,7.287105124581593,36.43552562290797,48.580700830543954,19.432280332217584,6.801298116276154,29.148420498326374,18.460666315606705,52.467156896987476,44.69424476410044,5.343877091359835,25.7477714401883,57.32522698004187,0.04116455206479327,0.04137733026684085,0.03770976859841379,0.03991585006858888,0.0395879034342544,0.04057480701846634,0.03846432260728253,0.03907373612830119,0.03921069822862922,0.03900707652262366,0.0397903069056352,0.039163484641630456,0.03915315520910072
11,ARK08679@H,39.44428005692023,17.79802880617132,55.31819764080276,32.22886297333726,26.456529306470884,25.01344588975429,21.165223445176707,41.368391279209014,8.177472694727363,36.07708541791484,60.609503502096935,27.899612723187477,10.101583917016155,35.115029806770444,27.899612723187477,52.432030807369564,44.735585918214404,6.73438927801077,37.520168834631434,47.140724946075395,0.040513171815113595,0.040563914743196025,0.04001607913515035,0.04082494550488466,0.03924860133420372,0.0390424416588256,0.039745980411902075,0.03935673015055734,0.04053830676461419,0.03869677078948701,0.039720670630939175,0.04040677142229928,0.04029781006662893
12,ARU07610@H,39.922247913278916,17.79666473242554,55.313957952133435,32.22639289385165,26.45450162928121,25.0115288131386,21.16360130342497,41.36522072942153,8.176845958141465,36.07432040356529,60.60485827798968,27.89747444542382,10.10080971299828,35.11233852613688,27.89747444542382,51.947021381134014,44.73215730042096,6.733873141998854,37.517293219707895,47.13711199399197,0.040507507772150696,0.040574260280354706,0.04002292792524265,0.04085475484124925,0.039245336626794726,0.03905946348497803,0.039761837671159,0.039339650001250406,0.04054360396870771,0.03867864969059799,0.039704787908855274,0.040421742612654486,0.040294538501801175
13,ARK08670@H,40.35502750929809,17.775428783857492,53.32628635157248,32.187938608606814,25.942517684548775,24.981683696232153,20.177513754649045,44.19836346256458,7.20625491237466,36.99210855018992,61.01295825810545,28.82501964949864,10.569173871482834,34.10960658524005,26.903351672865394,53.32628635157248,45.63961444503951,6.725837918216349,36.99210855018992,47.08086542751444,0.04059436775341207,0.040863592234696496,0.04026817996076696,0.04078934903519351,0.03942024677648132,0.03946137482707093,0.039573452909893926,0.039443519689556145,0.04014164958723522,0.03898511784608678,0.03924920621691723,0.04051013821033171,0.0402828107940471
14,ARK08627@H,37.17285575443346,20.542893969555333,56.248400154734846,27.390525292740445,22.010243538809288,28.368758338909746,14.673495692539525,40.59667141602602,9.782330461693016,38.64020532368742,64.5633810471739,20.542893969555333,5.86939827701581,37.17285575443346,22.98847658497859,62.606914954835304,51.84635144697299,6.358514800100461,34.238156615925554,61.628681908666,0.041077162759001806,0.03988196379241106,0.03750438891016877,0.039311506911538584,0.03926108616352095,0.03997994180739281,0.038915627864763824,0.03841757257844713,0.040105862409812655,0.038831551016573124,0.03852237098119721,0.039991083056235804,0.039083358664285604
15,ARK08635@H,39.971564094489295,17.33706394459777,55.38228760079843,32.26620234133473,26.48718102646881,25.042425697752332,21.18974482117505,41.41631942320578,8.186946862726725,36.118883217912014,62.12447913480867,27.931936355185293,10.113287301015365,35.637298108339856,26.968766136040973,52.011191833793305,45.26900029978306,6.742191534010243,37.08205343705634,46.71375562849954,0.040605792170582834,0.04063435554985339,0.04005000219307111,0.04081474605787005,0.039090042297134586,0.03903047595341149,0.03977216335521937,0.03919238803651056,0.04041250403457094,0.0386560698532695,0.03958636093970291,0.0404006979468268,0.0401692920398163
16,ARK08642@H,35.631384906232256,17.08354070846752,43.44100351581741,22.45265350255731,19.035945360863806,22.94075466565638,18.547844197764736,36.6075872324304,8.297719772684223,37.09568839552947,49.29821747300627,20.988350013260096,7.32151744648608,28.797968622845247,18.547844197764736,53.20302677779885,44.41720584201555,5.369112794089792,25.38126048115174,57.10783608259142,0.04121659267770537,0.04129089002854388,0.03744997423109826,0.03983670075176475,0.039356352580216,0.040318590835587476,0.03826695535377915,0.03890481697876014,0.03873207323123191,0.03890978876989545,0.03957250570850716,0.03901785573800509,0.039025740015833324
17,ARK08651@H,39.92699083678442,17.798779047723176,55.80157755502401,32.23022151885007,26.457644530399314,25.014500283286626,21.166115624319453,41.37013508389711,8.177817400305242,36.07860617781725,60.612058378732975,27.900788777512005,10.10200972978883,35.116510013075455,27.900788777512005,51.472144813685944,44.73747166049339,6.734673153192553,37.52175042492994,47.14271207234787,0.04051392858627391,0.04059042937587668,0.04000302486345096,0.04082114797578705,0.03926691192386052,0.03903255204455526,0.03973745574408016,0.039359621003956145,0.04055573092115016,0.03869139060130803,0.039681460693133525,0.04041931129490637,0.040278952600764424
18,ARK08661@H,39.916454306931705,17.794082040439434,54.825009530002575,32.221716127282214,26.450662492545103,25.007899083860824,21.160529994036082,41.35921771561598,8.175659315877578,36.06908521710696,60.59606316473969,27.89342590122938,10.099343860789949,35.10724294465077,27.89342590122938,52.420403848862115,44.72566566921263,6.732895907193299,37.51184862579124,47.13027135035309,0.04047225169760026,0.04058269512874557,0.04002802778499442,0.040859742040596184,0.03921076802677477,0.03906564598139509,0.03980296463626052,0.03936305592114159,0.040548083873228724,0.03867122534026386,0.039713622442266484,0.04044038232843986,0.04032039857019986
19,ARU07587@H,39.922247913278916,17.79666473242554,55.313957952133435,32.22639289385165,26.45450162928121,25.0115288131386,21.16360130342497,41.36522072942153,8.176845958141465,36.07432040356529,60.60485827798968,27.89747444542382,10.10080971299828,35.11233852613688,27.89747444542382,51.947021381134014,44.73215730042096,6.733873141998854,37.517293219707895,47.13711199399197,0.040507507772150696,0.040574260280354706,0.04002292792524265,0.04085475484124925,0.039245336626794726,0.03905946348497803,0.039761837671159,0.039339650001250406,0.04054360396870771,0.03867864969059799,0.039704787908855274,0.040421742612654486,0.040294538501801175
