,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9
10,AOG74783@H,43.22711093693744,21.901736208048305,51.87253312432493,26.51262804132163,22.47809768720747,26.51262804132163,21.901736208048305,43.22711093693744,8.645422187387489,43.22711093693744,57.63614791591659,23.054459166366637,8.069060708228323,34.581688749549954,21.901736208048305,62.247039749189916,53.02525608264326,6.339976270750825,30.547158395435794,68.01065454078157,0.04883762834082418,0.04909006841922641,0.044738872919813086,0.04735616817813162,0.04696709226111345,0.04813795476383439,0.045634075865060915,0.04635708412222683,0.04651957597060334
11,ARK08679@H,46.90844704173789,21.166006592003683,65.7862367048763,38.327633558493154,31.462982771897362,29.746820075248415,25.17038621751789,49.19666397060315,9.724921947677368,42.904067416223675,72.07883325925577,33.17914546854631,12.01313887654263,41.75995895179105,33.17914546854631,62.353911311578415,53.20104359611736,8.00875925102842,44.620230112872626,56.061314757198936,0.04817960859824771,0.048239953772535656,0.04758844948419511,0.0485503802182273,0.046675739409896305,0.04643056748127545,0.047267239117641344,0.04680432978721566,0.0482094999144498
12,ARU07610@H,47.475602995661944,21.163823022162553,65.77944993374848,38.323679526618676,31.45973692483623,29.743751274390615,25.16778953986898,49.191588646107554,9.72391868585847,42.89964126114031,72.07139731871573,33.17572257528184,12.011899553119287,41.7556508275099,33.17572257528184,61.77548341604205,53.195555163813985,8.007933035412858,44.61562691158592,56.05553124789,0.04817159498412539,0.0482509771768652,0.04759533183177287,0.04858454177083293,0.046670618978473945,0.04644957833197492,0.04728484287143582,0.04678277659877042,0.04821452064054425
13,ARK08670@H,47.98613108000533,21.13674821381187,63.41024464143561,38.27465217095663,30.848227122860568,29.70570019238425,23.993065540002664,52.556238801910595,8.56895197857238,43.987286823338216,72.55046008524614,34.27580791428952,12.56779623523949,40.559706031909265,31.990754053336886,63.41024464143561,54.27002919762507,7.9976885133342215,43.987286823338216,55.98381959333955,0.04827073037371483,0.04859086499004942,0.04788286072919633,0.048502582460634006,0.04687458405489987,0.04692348938710919,0.04705676134615569,0.04690225785730689,0.047732403562775194
14,ARK08627@H,44.066033227816696,24.35228152063554,66.67886606840683,32.469708694180724,26.091730200680935,33.62934114754432,17.394486800453958,48.12474681458928,11.596324533635972,45.80548190786209,76.53574192199741,24.35228152063554,6.9577947201815835,44.066033227816696,27.251362654044534,74.21647701527021,61.46052002827065,7.537610946863381,40.5871358677259,73.05684456190663,0.048694338444167644,0.04727750682586083,0.04445904449262954,0.046601266828761194,0.046541496270045064,0.04739365347039907,0.04613197764246314,0.04554156508602392,0.04754292425785095
15,ARK08635@H,47.51801510375971,20.610223418498187,65.83821369798032,38.3579158066494,31.48784133381667,29.77032271560849,25.190273067053337,49.23553372196789,9.732605503179698,42.937965455204555,73.85330058295183,33.20535995202486,12.022630327457275,42.36545924913516,32.06034753988607,61.83067025549456,53.81558337052304,8.015086884971517,44.082977867343345,55.533101988731225,0.048271982579933495,0.04830593859637519,0.04761126196155866,0.04852038601865388,0.046470065967169134,0.046399253766425154,0.04728096840431279,0.046591734120508765,0.04804220251566884
16,ARK08642@H,42.24360237452096,20.253781960386764,51.50247412784063,26.61925629079403,22.568499898716677,27.19793577537651,21.9898204141342,43.40096134368592,9.837551237902142,43.9796408282684,58.446627942830375,24.883217837046594,8.680192268737184,34.142089590366254,21.9898204141342,63.0760638194902,52.65983309700558,6.3654743304072685,30.091333198288904,67.70549969615004,0.04886527304205448,0.04895335796366394,0.04439967249428639,0.04722931064562649,0.046659822897293576,0.04780062644328081,0.04536826312821329,0.04612449454965742,0.04591969425344466
17,ARK08651@H,47.479628251574326,21.165617413352408,66.35707080942917,38.32692882958409,31.46240426309142,29.74627312146825,25.169923410473135,49.19575939319749,9.724743135864621,42.90327854057921,72.07750794817306,33.17853540471459,12.012917991362178,41.75919111283043,33.17853540471459,61.20867738455967,53.200065390318215,8.008611994241452,44.619409682202374,56.06028395969016,0.04817759184884353,0.048268563619447015,0.047570044965805434,0.0485429252260917,0.04669468802078045,0.046415996345968685,0.04725424047369212,0.04680493406152216,0.04822730156345952
18,ARK08661@H,47.471304982722664,21.161907040490828,65.20155142205282,38.3202100462942,31.456888843972852,29.741058543392512,25.16551107517828,49.187135283303,9.723038369955244,42.89575751450843,72.06487262437417,33.17271914455319,12.010812104062362,41.75187064745487,33.17271914455319,62.34183425441892,53.190739317990456,8.007208069374908,44.61158781508877,56.05045648562435,0.04813229624307233,0.04826364292439134,0.04760399559107107,0.04859312555693814,0.04663205587582904,0.04645946707766169,0.047336335510549755,0.04681316677869318,0.04822248091501443
19,ARU07587@H,47.475602995661944,21.163823022162553,65.77944993374848,38.323679526618676,31.45973692483623,29.743751274390615,25.16778953986898,49.191588646107554,9.72391868585847,42.89964126114031,72.07139731871573,33.17572257528184,12.011899553119287,41.7556508275099,33.17572257528184,61.77548341604205,53.195555163813985,8.007933035412858,44.61562691158592,56.05553124789,0.04817159498412539,0.0482509771768652,0.04759533183177287,0.04858454177083293,0.046670618978473945,0.04644957833197492,0.04728484287143582,0.04678277659877042,0.04821452064054425
