,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1
28,APT69862@H,68.26999410960997,32.28986207886958,83.03107391709321,40.5929694705789,35.980132030740386,43.360671934482006,35.05756454277269,70.11512908554538,15.683647295450939,69.19256159757767,93.17931628473792,39.670401982611196,12.915944831547831,53.50891430212673,35.05756454277269,101.48242367644725,84.8762088930286,10.148242367644725,47.973509374320514,107.94039609222116,0.07743251203229769
29,APU51916@H,76.55295654715535,34.12601677403311,106.06734943280561,61.79576010433022,50.72786277221138,47.960888439181666,40.5822902177691,79.31993088018507,15.679521220501698,69.17435832574279,116.21292198724788,53.49483710524109,19.36882033120798,67.32970877038964,53.49483710524109,99.61107598906962,85.77620432392105,12.912546887471986,71.9413326587725,90.38782821230392,0.07767522232342951
30,APU51926@H,76.55295654715535,34.12601677403311,106.06734943280561,61.79576010433022,50.72786277221138,47.960888439181666,40.5822902177691,79.31993088018507,15.679521220501698,69.17435832574279,116.21292198724788,53.49483710524109,19.36882033120798,67.32970877038964,53.49483710524109,99.61107598906962,85.77620432392105,12.912546887471986,71.9413326587725,90.38782821230392,0.07767522232342951
31,APU51936@H,76.54997975051234,34.12468976830068,106.06322495552914,61.79335714800393,50.72589019612263,47.9590234581523,40.5807121568981,79.31684648848265,15.678911515165176,69.17166844925814,116.20840299475365,53.49275693409295,19.368067165792276,68.24937953660135,53.49275693409295,98.68491365427494,85.77286887708009,12.91204477719485,71.93853518722845,90.38431344036395,0.07771108734322504
32,ARB07433@H,76.55244925265612,34.12579063070213,105.14432788919032,61.795350601541685,50.72752661320586,47.960570616121906,40.58202129056469,79.31940524974007,16.601735982503737,70.09621859279355,115.28983321183149,54.41680127598447,19.36869197958769,68.25158126140425,53.494482610289815,98.68809722932777,86.69795457529729,12.912461319725129,71.01853725848821,89.46491057238124,0.07768133430534796
33,ARB07425@H,68.16740125293981,36.84724392050801,83.82747991915572,42.37433050858421,35.926062822495304,41.453149410571505,35.00488172448261,70.00976344896522,12.896535372177802,67.24622015492712,93.96047199729541,35.926062822495304,13.817716470190502,54.34968478274931,34.083700626469906,100.40873968338431,83.82747991915572,10.132992078139702,48.822598194673105,108.69936956549861,0.07881890198729985
34,ARE29973@H,70.11184166647217,38.74601776305042,106.09028673216184,51.661357017400555,41.51359046041116,53.50640548230771,27.67572697360744,76.56951129364725,18.450484649071626,72.87941436383292,121.77319868387274,38.74601776305042,11.070290789442975,70.11184166647217,43.358638925318324,118.0831017540584,97.78756864007961,11.992815021896556,64.57669627175069,116.23805328915124,0.07747576754641876
35,ARB07608@H,55.474293195229514,33.28457591713771,106.3257286241899,61.946294068006296,51.77600698221421,36.05829057689918,36.05829057689918,67.49372338752924,24.963431937853283,73.96572426030602,122.96801658275876,55.474293195229514,12.019430192299728,83.21143979284427,47.153149215945085,143.3085907543429,79.51315357982897,13.868573298807378,67.49372338752924,81.36229668633662,0.07542844674617472
36,ARA15421@H,76.54592134151801,34.1228805980261,106.05760185872978,61.79008108291213,50.72320088895772,47.95648084046912,40.578560711166176,79.31264139000662,15.67808027476875,69.16800121221507,117.12448205268419,53.48992093744632,19.36704033942022,67.32352117988934,52.567680921283454,99.6019217455897,85.7683215031467,12.911360226280147,71.93472126070367,90.37952158396102,0.07775998383713237
37,ARB07599@H,55.474293195229514,33.28457591713771,106.3257286241899,61.946294068006296,51.77600698221421,36.05829057689918,36.05829057689918,67.49372338752924,24.963431937853283,73.96572426030602,122.96801658275876,55.474293195229514,12.019430192299728,83.21143979284427,47.153149215945085,143.3085907543429,79.51315357982897,13.868573298807378,67.49372338752924,81.36229668633662,0.07542844674617472
